0 1 1 1 0 0 1 1 0 0 0 1 0 6
0 0 0 0 0 0 0 0 0 0 0 0 1 1
0 1 1 1 0 0 1 1 0 0 0 1 0 6
0 0 0 1 0 0 0 1 0 0 0 0 0 2
0 1 1 1 0 0 1 1 0 0 0 1 0 6
0 0 0 0 0 0 0 0 0 0 0 1 0 1
0 1 1 1 0 0 1 1 0 0 0 1 0 6
0 0 0 0 0 1 0 0 0 1 1 0 0 3
0 0 0 0 0 0 0 1 1 0 0 0 0 2
0 1 1 1 0 1 1 1 1 1 0 1 0 9
0 1 1 1 0 0 1 1 0 0 0 1 0 6
0 0 0 0 0 0 0 0 0 0 0 0 1 1
0 0 0 0 0 0 0 0 0 0 0 0 1 1
0 0 0 0 0 0 0 0 1 0 0 0 0 1
1 0 0 0 0 0 0 0 0 0 0 0 0 1
0 1 1 1 0 0 1 1 0 0 0 1 0 6
0 0 0 0 0 0 0 0 0 0 0 0 1 1
0 0 0 0 0 1 0 0 0 1 0 0 0 2
0 0 0 0 1 0 0 0 0 0 0 0 0 1
1 7 7 8 1 3 7 9 3 3 1 8 4 0
