alg	priorTime	CE	app
RND	0.0	0.8044540882110596	GB
RND	0.0	0.5218797922134399	GB
RND	0.0	0.5487399697303772	GB
RND	0.0	0.7897558212280273	GB
RND	0.0	0.5819864273071289	GB
RND	0.0	0.7748114466667175	GB
RND	0.0	0.44042396545410156	GB
RND	0.0	0.4180104732513428	GB
RND	0.0	0.888452410697937	GB
RND	0.0	0.7912201285362244	GB
RND	0.0	0.23781193792819977	GB
RND	0.0	0.19570434093475342	GB
RND	0.0	0.39868244528770447	GB
RND	0.0	0.47639137506484985	GB
RND	0.0	0.5868822932243347	GB
RND	0.0	0.8131014108657837	GB
RND	0.0	0.8881509304046631	GB
RND	0.0	0.7913784980773926	GB
RND	0.0	0.836703896522522	GB
RND	0.0	0.5272631645202637	GB
RND	0.0	0.5450531244277954	GB
RND	0.0	0.33739909529685974	GB
RND	0.0	0.1530337929725647	GB
RND	0.0	0.6611273884773254	GB
RND	0.0	0.3526480197906494	GB
RND	0.0	0.8414520621299744	GB
RND	0.0	0.15713903307914734	GB
RND	0.0	0.7675114870071411	GB
RND	0.0	0.5597144365310669	GB
RND	0.0	0.7926905155181885	GB
RND	0.0	0.858582079410553	GB
RND	0.0	0.5067200660705566	GB
RND	0.0	0.36542826890945435	GB
RND	0.0	0.8582791090011597	GB
RND	0.0	0.4945319890975952	GB
RND	0.0	0.3652452528476715	GB
RND	0.0	0.5300394892692566	GB
RND	0.0	0.465116947889328	GB
RND	0.0	0.738827109336853	GB
RND	0.0	0.8517405390739441	GB
RND	0.0	0.5145413875579834	GB
RND	0.0	0.6783620119094849	GB
RND	0.0	0.6887597441673279	GB
RND	0.0	0.8867374062538147	GB
RND	0.0	0.621816098690033	GB
RND	0.0	0.607187032699585	GB
RND	0.0	0.9001267552375793	GB
RND	0.0	0.3741786479949951	GB
RND	0.0	0.6423776745796204	GB
RND	0.0	0.754271388053894	GB
RND	0.0	0.8130091428756714	GB
RND	0.0	0.40162333846092224	GB
RND	0.0	0.8954616189002991	GB
RND	0.0	0.7371151447296143	GB
RND	0.0	0.8703502416610718	GB
RND	0.0	0.32718750834465027	GB
RND	0.0	0.7525963187217712	GB
RND	0.0	0.7068464756011963	GB
RND	0.0	0.34083834290504456	GB
RND	0.0	0.26684242486953735	GB
RND	0.0	0.3495287299156189	GB
RND	0.0	0.29900914430618286	GB
RND	0.0	0.3283318877220154	GB
RND	0.0	0.7384040951728821	GB
RND	0.0	0.6429406404495239	GB
RND	0.0	0.4035213589668274	GB
RND	0.0	0.3030882477760315	GB
RND	0.0	0.8224762678146362	GB
RND	0.0	0.17641322314739227	GB
RND	0.0	0.7297090888023376	GB
RND	0.0	0.6115322113037109	GB
RND	0.0	0.5550631880760193	GB
RND	0.0	0.6845375895500183	GB
RND	0.0	0.9013264775276184	GB
RND	0.0	0.6657017469406128	GB
RND	0.0	0.6947553157806396	GB
RND	0.0	0.6759979128837585	GB
RND	0.0	0.7156291604042053	GB
RND	0.0	0.16371296346187592	GB
RND	0.0	0.7787982225418091	GB
RND	0.0	0.8445436954498291	GB
RND	0.0	0.280933141708374	GB
RND	0.0	0.7733333110809326	GB
RND	0.0	0.6089989542961121	GB
RND	0.0	0.7204050421714783	GB
RND	0.0	0.32933473587036133	GB
RND	0.0	0.6067255735397339	GB
RND	0.0	0.33728066086769104	GB
RND	0.0	0.8489688634872437	GB
RND	0.0	0.7666424512863159	GB
RND	1.0	0.4641525447368622	GB
RND	1.0	0.5255066752433777	GB
RND	1.0	0.5679141879081726	GB
RND	1.0	0.6010822057723999	GB
RND	1.0	0.6482040882110596	GB
RND	1.0	0.6291514039039612	GB
RND	1.0	0.7722135186195374	GB
RND	1.0	0.4978850781917572	GB
RND	1.0	0.6818181872367859	GB
RND	1.0	0.7211556434631348	GB
RND	1.0	0.8869573473930359	GB
RND	1.0	0.4211297929286957	GB
RND	1.0	0.5181205868721008	GB
RND	1.0	0.3963860273361206	GB
RND	1.0	0.8895137310028076	GB
RND	1.0	0.8453327417373657	GB
RND	1.0	0.8658866286277771	GB
RND	1.0	0.4175321161746979	GB
RND	1.0	0.7400252819061279	GB
RND	1.0	0.7749821543693542	GB
RND	1.0	0.33725297451019287	GB
RND	1.0	0.7865303754806519	GB
RND	2.0	0.72336745262146	GB
RND	2.0	0.7690973281860352	GB
RND	2.0	0.30643364787101746	GB
RND	2.0	0.8431962728500366	GB
RND	2.0	0.5946082472801208	GB
RND	2.0	0.6957027912139893	GB
RND	2.0	0.49374908208847046	GB
RND	2.0	0.8466693758964539	GB
RND	2.0	0.8613722324371338	GB
RND	2.0	0.8880894184112549	GB
RND	2.0	0.862415075302124	GB
RND	2.0	0.25832584500312805	GB
RND	2.0	0.8013285994529724	GB
RND	2.0	0.49180641770362854	GB
RND	2.0	0.6050690412521362	GB
RND	2.0	0.8800081014633179	GB
RND	2.0	0.31934618949890137	GB
RND	2.0	0.3473661243915558	GB
RND	2.0	0.8664234280586243	GB
RND	2.0	0.5706889629364014	GB
RND	2.0	0.5125064849853516	GB
RND	2.0	0.8662142753601074	GB
RND	2.0	0.5577579736709595	GB
RND	2.0	0.8439991474151611	GB
RND	2.0	0.668607234954834	GB
RND	2.0	0.637901782989502	GB
RND	2.0	0.7325330972671509	GB
RND	2.0	0.8441791534423828	GB
RND	2.0	0.7383702397346497	GB
RND	2.0	0.35847750306129456	GB
RND	2.0	0.6269010901451111	GB
RND	2.0	0.6562330722808838	GB
RND	2.0	0.34812596440315247	GB
RND	2.0	0.7040117383003235	GB
RND	2.0	0.4542516767978668	GB
RND	2.0	0.17820975184440613	GB
RND	2.0	0.16556178033351898	GB
RND	2.0	0.6708144545555115	GB
RND	2.0	0.35343554615974426	GB
RND	2.0	0.8045186996459961	GB
RND	2.0	0.6598015427589417	GB
RND	2.0	0.41268396377563477	GB
RND	2.0	0.45071861147880554	GB
RND	2.0	0.6731970310211182	GB
RND	2.0	0.7364891767501831	GB
RND	2.0	0.657275915145874	GB
RND	2.0	0.3747846484184265	GB
RND	2.0	0.7428739070892334	GB
RND	2.0	0.5630691051483154	GB
RND	2.0	0.8336830139160156	GB
RND	2.0	0.631653904914856	GB
RND	2.0	0.854509174823761	GB
RND	2.0	0.4679209589958191	GB
RND	2.0	0.41194412112236023	GB
RND	2.0	0.6926434636116028	GB
RND	2.0	0.844248354434967	GB
RND	2.0	0.7378627061843872	GB
RND	2.0	0.31545010209083557	GB
RND	2.0	0.7073909640312195	GB
RND	2.0	0.49798351526260376	GB
RND	2.0	0.6298312544822693	GB
RND	2.0	0.8532325029373169	GB
RND	2.0	0.7160459756851196	GB
RND	2.0	0.7750313878059387	GB
RND	2.0	0.4435817301273346	GB
RND	3.0	0.49040675163269043	GB
RND	3.0	0.8977380394935608	GB
RND	3.0	0.8216579556465149	GB
RND	3.0	0.48426809906959534	GB
RND	3.0	0.6067609786987305	GB
RND	3.0	0.5636013150215149	GB
RND	3.0	0.3708363175392151	GB
RND	3.0	0.8111079931259155	GB
RND	3.0	0.5146536827087402	GB
RND	3.0	0.5548555254936218	GB
RND	3.0	0.8100159168243408	GB
RND	3.0	0.1771315336227417	GB
RND	3.0	0.8883493542671204	GB
RND	3.0	0.6327075362205505	GB
RND	3.0	0.7030273079872131	GB
RND	3.0	0.5050711631774902	GB
RND	3.0	0.7825389504432678	GB
RND	3.0	0.5547632575035095	GB
RND	3.0	0.8388403058052063	GB
RND	3.0	0.6633530259132385	GB
RND	3.0	0.6505250930786133	GB
RND	3.0	0.5213091373443604	GB
RND	3.0	0.8669633269309998	GB
RND	3.0	0.836107075214386	GB
RND	3.0	0.6529799699783325	GB
RND	3.0	0.28460463881492615	GB
RND	3.0	0.36442849040031433	GB
RND	3.0	0.761489748954773	GB
RND	3.0	0.7853736877441406	GB
RND	3.0	0.4324011206626892	GB
RND	3.0	0.46068716049194336	GB
RND	3.0	0.664692759513855	GB
RND	3.0	0.8039065003395081	GB
RND	3.0	0.4740380644798279	GB
RND	3.0	0.8175173401832581	GB
RND	3.0	0.8444098830223083	GB
RND	3.0	0.8000196814537048	GB
RND	3.0	0.5974845290184021	GB
RND	3.0	0.7671300768852234	GB
RND	3.0	0.5193126201629639	GB
RND	3.0	0.35835906863212585	GB
RND	3.0	0.39581385254859924	GB
RND	3.0	0.3249295651912689	GB
RND	3.0	0.700793981552124	GB
RND	3.0	0.7815130352973938	GB
RND	3.0	0.38846009969711304	GB
RND	3.0	0.6504620313644409	GB
RND	3.0	0.7705708146095276	GB
RND	3.0	0.5022164583206177	GB
RND	3.0	0.8285149335861206	GB
RND	3.0	0.62727952003479	GB
RND	3.0	0.3252418041229248	GB
RND	3.0	0.5430904626846313	GB
RND	3.0	0.8828474879264832	GB
RND	3.0	0.6652541756629944	GB
RND	3.0	0.4671626687049866	GB
RND	3.0	0.5913797616958618	GB
RND	3.0	0.4088094234466553	GB
RND	3.0	0.43367162346839905	GB
RND	3.0	0.7711491584777832	GB
RND	3.0	0.6257936954498291	GB
RND	3.0	0.8312327861785889	GB
RND	3.0	0.8844594359397888	GB
RND	3.0	0.8470200300216675	GB
RND	3.0	0.6020466089248657	GB
RND	3.0	0.8551551699638367	GB
RND	3.0	0.8746108412742615	GB
RND	3.0	0.6341902613639832	GB
RND	3.0	0.41912561655044556	GB
RND	4.0	0.4017002284526825	GB
RND	4.0	0.8401708006858826	GB
RND	4.0	0.5125218629837036	GB
RND	4.0	0.8506454229354858	GB
RND	4.0	0.5500381588935852	GB
RND	4.0	0.7016276121139526	GB
RND	4.0	0.482228547334671	GB
RND	4.0	0.8334445953369141	GB
RND	4.0	0.49424436688423157	GB
RND	4.0	0.5235471129417419	GB
RND	4.0	0.8024330139160156	GB
RND	4.0	0.8624966144561768	GB
RND	4.0	0.6870831847190857	GB
RND	4.0	0.19067929685115814	GB
RND	4.0	0.8017269968986511	GB
RND	4.0	0.8136643767356873	GB
RND	4.0	0.8481889963150024	GB
RND	4.0	0.7706738710403442	GB
RND	4.0	0.6034109592437744	GB
RND	4.0	0.6607813239097595	GB
RND	4.0	0.8668341040611267	GB
RND	4.0	0.40372133255004883	GB
RND	4.0	0.7106548547744751	GB
RND	4.0	0.6878660917282104	GB
RND	4.0	0.6430129408836365	GB
RND	4.0	0.38913995027542114	GB
RND	4.0	0.5204324126243591	GB
RND	4.0	0.6948645114898682	GB
RND	5.0	0.6776529550552368	GB
RND	5.0	0.3983517587184906	GB
RND	5.0	0.3173927664756775	GB
RND	5.0	0.8761013150215149	GB
RND	5.0	0.4925893247127533	GB
RND	5.0	0.7457870841026306	GB
RND	5.0	0.3792467415332794	GB
RND	5.0	0.8003519177436829	GB
RND	5.0	0.6394168138504028	GB
RND	5.0	0.36936894059181213	GB
RND	5.0	0.5123357176780701	GB
RND	5.0	0.7229136824607849	GB
RND	5.0	0.4938259720802307	GB
RND	5.0	0.8461848497390747	GB
RND	5.0	0.2943440079689026	GB
RND	5.0	0.5793223977088928	GB
RND	5.0	0.18023237586021423	GB
RND	5.0	0.8758536577224731	GB
RND	5.0	0.8059199452400208	GB
RND	5.0	0.19384628534317017	GB
RND	5.0	0.6217607259750366	GB
RND	5.0	0.49828654527664185	GB
RND	5.0	0.795569896697998	GB
RND	5.0	0.9017509818077087	GB
RND	5.0	0.46311280131340027	GB
RND	5.0	0.18157361447811127	GB
RND	5.0	0.5003968477249146	GB
RND	5.0	0.8163298964500427	GB
RND	5.0	0.8838380575180054	GB
RND	5.0	0.6016913056373596	GB
RND	5.0	0.5376101136207581	GB
RND	5.0	0.8061198592185974	GB
RND	5.0	0.5708181858062744	GB
RND	5.0	0.5283091068267822	GB
RND	5.0	0.7579997777938843	GB
RND	5.0	0.6246554851531982	GB
RND	5.0	0.8705194592475891	GB
RND	5.0	0.5288397669792175	GB
RND	5.0	0.8423841595649719	GB
RND	5.0	0.16841961443424225	GB
RND	5.0	0.7167996764183044	GB
RND	5.0	0.869551956653595	GB
RND	5.0	0.5571165680885315	GB
RND	5.0	0.5499212741851807	GB
RND	5.0	0.5194402933120728	GB
RND	5.0	0.8370976448059082	GB
RND	5.0	0.16684919595718384	GB
RND	5.0	0.7888175249099731	GB
RND	5.0	0.4003359377384186	GB
RND	6.0	0.8902227878570557	GB
RND	6.0	0.3478121757507324	GB
RND	6.0	0.6768962144851685	GB
RND	6.0	0.4407946467399597	GB
RND	6.0	0.36097386479377747	GB
RND	6.0	0.4274176061153412	GB
RND	6.0	0.8134136199951172	GB
RND	6.0	0.7955330014228821	GB
RND	6.0	0.8312650918960571	GB
