alg	priorTime	CE	app
RND	1.0	0.6995298266410828	AD
RND	2.0	0.8543391823768616	AD
RND	3.0	0.832435667514801	AD
RND	4.0	0.8293396830558777	AD
RND	4.0	0.6569960713386536	AD
RND	5.0	0.7034187316894531	AD
RND	7.0	0.7112547755241394	AD
RND	7.0	0.6926354765892029	AD
RND	7.0	0.7828834056854248	AD
RND	7.0	0.6376819610595703	AD
RND	7.0	0.6592971682548523	AD
RND	8.0	0.5844128727912903	AD
RND	8.0	0.7331337928771973	AD
RND	8.0	0.7343185544013977	AD
RND	8.0	0.700564444065094	AD
RND	9.0	0.6117658019065857	AD
RND	9.0	0.6726953983306885	AD
RND	9.0	0.6981828808784485	AD
RND	9.0	0.6062239408493042	AD
RND	9.0	0.657036542892456	AD
RND	9.0	0.6050286889076233	AD
RND	9.0	0.7483131289482117	AD
RND	9.0	0.8487460613250732	AD
RND	9.0	0.7730341553688049	AD
RND	9.0	0.8292841911315918	AD
RND	9.0	0.5565775632858276	AD
RND	9.0	0.6664637923240662	AD
RND	10.0	0.7509202361106873	AD
RND	10.0	0.7239288091659546	AD
RND	10.0	0.598613440990448	AD
RND	10.0	0.6362683176994324	AD
RND	10.0	0.7623439431190491	AD
RND	10.0	0.7841873168945312	AD
RND	10.0	0.6200965046882629	AD
RND	10.0	0.771859884262085	AD
RND	10.0	0.8172062635421753	AD
RND	10.0	0.6092185974121094	AD
RND	10.0	0.8282772898674011	AD
RND	10.0	0.670737087726593	AD
RND	11.0	0.7034665942192078	AD
RND	12.0	0.7042397260665894	AD
RND	12.0	0.7129639387130737	AD
RND	12.0	0.6657066345214844	AD
RND	12.0	0.7628230452537537	AD
RND	12.0	0.7518364191055298	AD
RND	13.0	0.6647743582725525	AD
RND	13.0	0.6885479688644409	AD
RND	13.0	0.8400219678878784	AD
RND	13.0	0.681709885597229	AD
RND	13.0	0.6572649478912354	AD
