alg	priorTime	CE	app
RND	0.0	0.9159840941429138	TM
RND	0.0	0.7452106475830078	TM
RND	0.0	0.6514703035354614	TM
RND	0.0	0.9208757281303406	TM
RND	0.0	0.9091105461120605	TM
RND	0.0	0.6255038976669312	TM
RND	0.0	0.7741905450820923	TM
RND	0.0	0.9458666443824768	TM
RND	0.0	0.9041544198989868	TM
RND	0.0	0.9024080038070679	TM
RND	0.0	0.8795644044876099	TM
RND	0.0	0.9078995585441589	TM
RND	0.0	0.8611078262329102	TM
RND	0.0	0.9317747354507446	TM
RND	0.0	0.8201020359992981	TM
RND	0.0	0.896294116973877	TM
RND	0.0	0.92067950963974	TM
RND	0.0	0.9128808975219727	TM
RND	0.0	0.5750735998153687	TM
RND	0.0	0.9108176827430725	TM
RND	0.0	0.7589521408081055	TM
RND	0.0	0.880649209022522	TM
RND	0.0	0.8013147115707397	TM
RND	0.0	0.6305020451545715	TM
RND	0.0	0.7932161688804626	TM
RND	0.0	0.865705132484436	TM
RND	0.0	0.6981134414672852	TM
RND	0.0	0.8821517825126648	TM
RND	0.0	0.23430325090885162	TM
RND	0.0	0.7196703553199768	TM
RND	0.0	0.8477139472961426	TM
RND	0.0	0.6508591771125793	TM
RND	0.0	0.9358927011489868	TM
RND	0.0	0.8614806532859802	TM
RND	0.0	0.8303871154785156	TM
RND	0.0	0.9274044632911682	TM
RND	0.0	0.21573738753795624	TM
RND	0.0	0.6314074993133545	TM
RND	0.0	0.9072295427322388	TM
RND	0.0	0.8506601452827454	TM
RND	0.0	0.8444650173187256	TM
RND	0.0	0.7771199345588684	TM
RND	0.0	0.7289490699768066	TM
RND	0.0	0.9280996918678284	TM
RND	0.0	0.8405096530914307	TM
RND	0.0	0.8203122615814209	TM
RND	0.0	0.8996159434318542	TM
RND	0.0	0.9171053767204285	TM
RND	0.0	0.22317999601364136	TM
RND	0.0	0.8298881649971008	TM
RND	0.0	0.9351330399513245	TM
RND	0.0	0.6224595904350281	TM
RND	0.0	0.9197179675102234	TM
RND	0.0	0.9522299766540527	TM
RND	0.0	0.8502088189125061	TM
RND	0.0	0.8945196866989136	TM
RND	0.0	0.8826507329940796	TM
RND	0.0	0.8310514688491821	TM
RND	0.0	0.6006951928138733	TM
RND	0.0	0.8505004048347473	TM
RND	0.0	0.936259925365448	TM
RND	0.0	0.8931180238723755	TM
RND	0.0	0.7760659456253052	TM
RND	0.0	0.8293106555938721	TM
RND	0.0	0.8083760738372803	TM
RND	0.0	0.8638662099838257	TM
RND	0.0	0.7620020508766174	TM
RND	0.0	0.8116838932037354	TM
RND	0.0	0.8319877982139587	TM
RND	0.0	0.9542455077171326	TM
RND	0.0	0.6924256682395935	TM
RND	0.0	0.820082426071167	TM
RND	0.0	0.23974715173244476	TM
RND	0.0	0.6292377710342407	TM
RND	0.0	0.9251030087471008	TM
RND	0.0	0.7349676489830017	TM
RND	0.0	0.6656911373138428	TM
RND	0.0	0.8964847326278687	TM
RND	0.0	0.9284977316856384	TM
RND	0.0	0.9193928241729736	TM
RND	0.0	0.632085919380188	TM
RND	0.0	0.8947944045066833	TM
RND	0.0	0.669141948223114	TM
RND	0.0	0.8343172669410706	TM
RND	0.0	0.8290472030639648	TM
RND	0.0	0.6791803240776062	TM
RND	0.0	0.7261233925819397	TM
RND	0.0	0.6994449496269226	TM
RND	0.0	0.7226753830909729	TM
RND	0.0	0.6165083050727844	TM
RND	0.0	0.7759453654289246	TM
RND	0.0	0.9417206048965454	TM
RND	0.0	0.8542342782020569	TM
RND	0.0	0.8748914003372192	TM
RND	0.0	0.8982423543930054	TM
RND	0.0	0.8903428316116333	TM
RND	0.0	0.6365682482719421	TM
RND	0.0	0.7724637389183044	TM
RND	0.0	0.9280492067337036	TM
RND	0.0	0.8634401559829712	TM
RND	0.0	0.6474504470825195	TM
RND	0.0	0.7100215554237366	TM
RND	0.0	0.8270792961120605	TM
RND	0.0	0.9289770722389221	TM
RND	0.0	0.8422476649284363	TM
RND	0.0	0.8448434472084045	TM
RND	0.0	0.8192526698112488	TM
RND	0.0	0.7493454217910767	TM
RND	0.0	0.8514198660850525	TM
RND	0.0	0.8913856148719788	TM
RND	0.0	0.8510890603065491	TM
RND	0.0	0.9093235731124878	TM
RND	0.0	0.8196002840995789	TM
RND	0.0	0.8811314105987549	TM
RND	0.0	0.9317046403884888	TM
RND	0.0	0.8515852093696594	TM
RND	0.0	0.7133714556694031	TM
RND	0.0	0.2695736289024353	TM
RND	0.0	0.612914502620697	TM
RND	0.0	0.9226025342941284	TM
RND	0.0	0.7503882646560669	TM
RND	0.0	0.8970005512237549	TM
RND	0.0	0.8019622564315796	TM
RND	0.0	0.8741877675056458	TM
RND	1.0	0.6320382356643677	TM
RND	1.0	0.8469626903533936	TM
RND	1.0	0.617769718170166	TM
RND	1.0	0.7063717842102051	TM
RND	1.0	0.6653155088424683	TM
RND	1.0	0.7931040525436401	TM
RND	1.0	0.5458385944366455	TM
RND	1.0	0.8379727005958557	TM
RND	1.0	0.8239564895629883	TM
RND	1.0	0.9259299635887146	TM
RND	1.0	0.8224427700042725	TM
