alg	priorTime	CE	app
RND	1.0	0.7932965755462646	RP
RND	1.0	0.7488318681716919	RP
RND	1.0	0.8655145764350891	RP
RND	1.0	0.754787027835846	RP
RND	1.0	0.8184282779693604	RP
RND	1.0	0.7589460015296936	RP
RND	1.0	0.7369676232337952	RP
RND	1.0	0.8975745439529419	RP
RND	1.0	0.9267549514770508	RP
RND	1.0	0.667912483215332	RP
RND	1.0	0.9421225786209106	RP
RND	1.0	0.8624628186225891	RP
RND	2.0	0.9569084048271179	RP
RND	2.0	0.7093381285667419	RP
RND	2.0	0.77950519323349	RP
RND	2.0	0.8709887266159058	RP
RND	2.0	0.7466436624526978	RP
RND	2.0	0.6497336030006409	RP
RND	2.0	0.855270266532898	RP
RND	2.0	0.7315458655357361	RP
RND	2.0	0.590840220451355	RP
RND	2.0	0.7935314774513245	RP
RND	2.0	0.9224388003349304	RP
RND	2.0	0.9337530136108398	RP
RND	2.0	0.8209102153778076	RP
RND	2.0	0.8825712203979492	RP
RND	2.0	0.8449633121490479	RP
RND	2.0	0.7325872182846069	RP
RND	2.0	0.6686689257621765	RP
RND	2.0	0.5116352438926697	RP
RND	2.0	0.5879892706871033	RP
RND	3.0	0.793586254119873	RP
RND	3.0	0.7970983982086182	RP
RND	3.0	0.8542352914810181	RP
RND	3.0	0.7146654725074768	RP
RND	3.0	0.9163463711738586	RP
RND	3.0	0.845320463180542	RP
RND	3.0	0.6453856825828552	RP
RND	3.0	0.8355500102043152	RP
RND	3.0	0.817791759967804	RP
RND	3.0	0.6514416337013245	RP
RND	3.0	0.5078127980232239	RP
RND	3.0	0.9401779770851135	RP
RND	3.0	0.8332443237304688	RP
RND	3.0	0.602814793586731	RP
RND	3.0	0.7963213324546814	RP
RND	3.0	0.8519343733787537	RP
RND	3.0	0.6943276524543762	RP
RND	3.0	0.9001469016075134	RP
RND	3.0	0.7723777890205383	RP
