alg	priorTime	CE	app
RND	0.0	0.7307087779045105	SK
RND	0.0	0.3037010133266449	SK
RND	0.0	0.5726293921470642	SK
RND	0.0	0.5523302555084229	SK
RND	0.0	0.8283542990684509	SK
RND	0.0	0.4829261302947998	SK
RND	0.0	0.6896064877510071	SK
RND	1.0	0.7932591438293457	SK
RND	1.0	0.5624496340751648	SK
RND	1.0	0.8099701404571533	SK
RND	1.0	0.7442952990531921	SK
RND	1.0	0.6072810888290405	SK
RND	1.0	0.7643928527832031	SK
RND	1.0	0.36292532086372375	SK
RND	1.0	0.8864497542381287	SK
RND	1.0	0.8529672622680664	SK
RND	1.0	0.7241573929786682	SK
RND	1.0	0.6220166087150574	SK
RND	1.0	0.6337284445762634	SK
RND	1.0	0.5321924090385437	SK
RND	1.0	0.9009232521057129	SK
RND	1.0	0.9005200862884521	SK
RND	1.0	0.711840808391571	SK
RND	1.0	0.4684325158596039	SK
RND	1.0	0.5305998921394348	SK
RND	1.0	0.6703555583953857	SK
RND	1.0	0.8380906581878662	SK
RND	1.0	0.39036041498184204	SK
RND	1.0	0.7625383138656616	SK
RND	1.0	0.7391146421432495	SK
RND	1.0	0.660437822341919	SK
RND	1.0	0.5732341408729553	SK
RND	1.0	0.802935004234314	SK
RND	1.0	0.8412755727767944	SK
RND	1.0	0.9052773714065552	SK
RND	1.0	0.7973713874816895	SK
RND	1.0	0.8086195588111877	SK
RND	1.0	0.801906943321228	SK
RND	1.0	0.39600467681884766	SK
RND	1.0	0.8139815926551819	SK
RND	1.0	0.3918118178844452	SK
RND	1.0	0.7226455211639404	SK
RND	1.0	0.7365747690200806	SK
RND	1.0	0.8638324737548828	SK
RND	1.0	0.8387961387634277	SK
RND	1.0	0.7264553904533386	SK
RND	1.0	0.40122559666633606	SK
RND	1.0	0.7126068472862244	SK
RND	1.0	0.8236978054046631	SK
RND	1.0	0.7508667707443237	SK
